Report Month,Continent,Country,Country Code,Language Name,Language Code,Is Sign Language,Is ISO Recognized,First Language Population,First Language Population Group,Language EGIDS,EGIDS Group,EGIDS Has Data Support,All Access Population,All Access Status,All Access Chapter Goal,Eligible For ETEN Funding,All Access Chapters To Goal,Top 100 Progress,Top 100 Revision Status,Completed Scripture,Latest Publication Year,Text Chapters Completed,Audio Chapters Completed,Video Chapters Completed,Unknown Mode Chapters Completed,Translation Status,Is Remaining Translation Need,Expressed Need,Expressed Need Sensitivity,Active Translation,Active Language Development,Active Scripture Engagement,Active Intent,Active OBT,Engagement Maximum Sensitivity,Engagement Minimum Sensitivity,Access Through 2nd Language,2nd Language Scripture Level,Is Protected Country,IllumiNations Region,ETENRegion
2025-08,Africa,Tanzania,TZ,Subi [xsj] ,xsj,No,Yes,105000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,44,,,,,0,44,0,0,Work In Progress,No,,Unrestricted,Yes,No,Yes,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Sukuma [suk],suk,No,Yes,8130000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2015,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Sumbwa [suw] ,suw,No,Yes,361000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Swahili [swh],swh,No,Yes,3972300,500K - 9.99M,1,Institutional,Yes,Top 100,Goal Met in the language,2378,No,2378,Two Bibles,,Bible,2024,1189,1189,0,260,Work In Progress,No,,,Yes,No,Yes,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Tabora Sign Language [TZ49],TZ49,Yes,No,1000,1000 - 4999,6b,In_Trouble,No,"1 to 4,999",Translation in Progress,25,Yes,10,,,,,0,0,10,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Tanzanian Sign Language [tza],tza,Yes,Yes,290000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,25,,,Selections,2014,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Temi [soz],soz,No,Yes,24600,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,124,,,Selections,2012,124,0,0,41,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Tongwe [tny] ,tny,No,Yes,37700,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,101,,,,,101,0,0,0,Limited or Old Scripture,No,,,No,No,No,No,No,,null,Bende [bdp],Selections,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Vidunda [vid],vid,No,Yes,12000,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2015,998,846,0,557,Work In Progress,No,,,Yes,No,No,No,No,Restricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Vunjo [vun],vun,No,Yes,14200,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2019,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Vwanji [wbi],wbi,No,Yes,41800,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2019,268,260,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Wanda [wbh] ,wbh,No,Yes,180,1 - 999,6a,Vigorous,Yes,"1 to 4,999",Translation in Progress,25,Yes,18,,,,,18,0,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Zanaki [zak],zak,No,Yes,97400,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2023,318,264,0,0,Work In Progress,No,,,No,Yes,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Zaramo [zaj],zaj,No,Yes,293000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2020,456,350,0,406,Work In Progress,No,,,Yes,No,Yes,No,No,Restricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Zigula [ziw],ziw,No,Yes,442000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2015,564,564,0,975,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Tanzania,TZ,Zinza [zin],zin,No,Yes,205000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2024,310,50,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Togo,TG,Adele [ade],ade,No,Yes,37400,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2001,503,260,0,10,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Akaselem [aks] ,aks,No,Yes,59200,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,173,,,Stories,2018,94,49,0,95,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Restricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Akebu [keu],keu,No,Yes,70300,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2025,112,260,0,0,Work In Progress,No,,,Yes,Yes,No,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Bago-Kusuntu [bqg],bqg,No,Yes,9900,5K - 9.9K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,"Gbe, Waci [wci]",wci,No,Yes,929000,500K - 9.99M,6a,Vigorous,Yes,"500,000 and greater",Goal Met - Scripture accessed via second language,1189,No,1189,,,Selections,,1189,1189,0,260,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,Éwé [ewe],Bible,No,null,Africa
2025-08,Africa,Togo,TG,Gen [gej],gej,No,Yes,636000,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2014,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Togo,TG,Ginyanga [ayg],ayg,No,Yes,16500,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation Not Started,260,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,Yes,No,,null,,,No,null,Africa
2025-08,Africa,Togo,TG,Ifè [ife],ife,No,Yes,170600,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2019,268,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Igo [ahl] ,ahl,No,Yes,7600,5K - 9.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2014,260,40,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Ikposo [kpo],kpo,No,Yes,233500,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2020,260,260,0,0,Work In Progress,No,,,Yes,Yes,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Kabiyè [kbp],kbp,No,Yes,1047100,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1998,1189,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Kpessi [kef] ,kef,No,Yes,5880,5K - 9.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,52,,,Selections,,52,51,0,0,Work In Progress,No,,Unknown,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Lama [las],las,No,Yes,258000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2007,1188,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Miyobe [soy],soy,No,Yes,17700,10K - 99.9K,6b,In_Trouble,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2011,260,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Moba [mfq],mfq,No,Yes,320800,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2010,492,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Nawdm [nmz],nmz,No,Yes,146000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2013,460,260,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Ngangam [gng],gng,No,Yes,253400,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2015,387,260,0,0,Work In Progress,No,,Unrestricted,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Ntcham [bud],bud,No,Yes,329000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2015,1189,1189,0,0,Work In Progress,No,,,No,Yes,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Tem [kdh],kdh,No,Yes,395200,100K - 499K,3,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2019,587,310,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Restricted,Restricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Togo Sign Language [TG25],TG25,Yes,No,40000,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Togo,TG,Wudu [wud] ,wud,No,Yes,2500,1000 - 4999,6b,In_Trouble,No,"1 to 4,999",Goal Met - Scripture accessed via second language,25,No,25,,,Selections,,1189,1189,0,260,Work In Progress,No,,,Yes,No,Yes,No,Yes,Unrestricted,Unrestricted,Éwé [ewe],Bible,No,null,Africa
2025-08,Africa,Tunisia,TN,"Arabic, Tunisian [aeb]",aeb,No,Yes,12548590,10M+,3,Institutional,Yes,"500,000 and greater",Translation in Progress,1189,Yes,311,,,New Testament,2011,266,260,0,311,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Tunisia,TN,Sign Language in Burj al-Salhi [TN86],TN86,Yes,No,20,1 - 999,6a,Vigorous,No,"1 to 4,999",Translation Not Started,25,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,No,No,,null,Tunisian Sign Language [tse] ,,No,null,Africa
2025-08,Africa,Tunisia,TN,Tunisian Sign Language [tse] ,tse,Yes,Yes,21200,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Translation Not Started,260,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Uganda,UG,Acholi [ach],ach,No,Yes,2058000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1986,1189,1189,0,260,Limited or Old Scripture,No,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Uganda,UG,Amba [rwm],rwm,No,Yes,64700,10K - 99.9K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,94,,,Selections,2025,84,24,0,10,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Aringa [luc],luc,No,Yes,927000,500K - 9.99M,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2013,772,383,0,209,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ateso [teo],teo,No,Yes,3568000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2019,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Chiga [cgg],cgg,No,Yes,2950000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1991,1189,0,0,103,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ganda [lug],lug,No,Yes,7232350,500K - 9.99M,3,Institutional,Yes,Top 100,Goal Met in the language,2378,No,2378,Two Bibles,,Bible,2023,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Gungu [rub],rub,No,Yes,123000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2017,509,509,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Gwere [gwr],gwr,No,Yes,876000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Translation in Progress,1189,Yes,803,,,New Testament,2017,803,746,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ik [ikx],ikx,No,Yes,15200,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,31,,,Selections,2014,28,27,0,0,Work In Progress,No,,Restricted,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Jopadhola [adh],adh,No,Yes,570000,500K - 9.99M,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2018,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kakwa [keo],keo,No,Yes,591000,500K - 9.99M,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,1983,1189,1189,0,209,Work In Progress,No,,,Yes,No,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kebu [ndp],ndp,No,Yes,151700,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,1994,260,354,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Restricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kenye [lke],lke,No,Yes,101000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,27,,,,,24,27,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Konzo [koo],koo,No,Yes,1140000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Translation in Progress,1189,Yes,226,,,Selections,1995,213,103,0,185,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kuku [ukv],ukv,No,Yes,102000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,205,,,,,152,152,0,205,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kumam [kdi],kdi,No,Yes,350000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2014,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Uganda,UG,Kupsapiiny [kpz],kpz,No,Yes,357000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2020,489,260,0,509,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Lango [laj],laj,No,Yes,2700000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2006,1189,1189,0,85,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Lugbara [lgg],lgg,No,Yes,2060000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2008,1189,1189,0,953,Work In Progress,No,,,Yes,Yes,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ma'di [mhi],mhi,No,Yes,419000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,1977,601,260,0,31,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,"Ma'di, Southern [snm]",snm,No,Yes,60000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Selections,2024,103,253,0,56,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Masaaba [myx],myx,No,Yes,2100000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2017,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ng'akarimojong [kdj],kdj,No,Yes,1030000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2011,1189,1189,0,158,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Nubi [kcn],kcn,No,Yes,51100,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,24,,,Selections,2024,24,0,0,0,Work In Progress,No,,Restricted,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Nyankore [nyn],nyn,No,Yes,4436800,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2017,1189,1189,0,84,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Nyole [nuj],nuj,No,Yes,633000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Translation in Progress,1189,Yes,695,,,New Testament,2016,695,670,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Nyoro [nyo],nyo,No,Yes,1230000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2009,1189,1189,0,152,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ruruuli-Runyala [ruc],ruc,No,Yes,255000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,210,,,Selections,2023,210,0,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Saamya-Gwe [lsm],lsm,No,Yes,736800,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2020,1189,1189,0,0,Recent Scripture,No,,,No,No,No,Yes,No,,null,,,No,null,Africa
2025-08,Africa,Uganda,UG,Soga [xog],xog,No,Yes,3700000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2020,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Talinga-Bwisi [tlj],tlj,No,Yes,155900,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2017,709,709,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Thur [lth],lth,No,Yes,113000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Selections,2023,306,0,0,16,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Tooro [ttj],ttj,No,Yes,1050000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2017,1189,1189,0,152,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Uganda,UG,Ugandan Sign Language [ugn],ugn,Yes,Yes,25000,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,25,,,Selections,2014,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Western Sahara,EH,Sign Language in Western Sahara [EH73],EH73,Yes,No,3000,1000 - 4999,6a,Vigorous,No,"1 to 4,999",Translation in Progress,25,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Restricted,Restricted,,,No,null,Africa
2025-08,Africa,Zambia,ZM,Aushi [auh] ,auh,No,Yes,100000,100K - 499K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,209,,,Selections,,36,0,0,209,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Bemba [bem],bem,No,Yes,4266000,500K - 9.99M,4,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2016,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Restricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Bwile [bwc] ,bwc,No,Yes,32000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,195,,,Selections,,36,0,0,195,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Ila [ilb],ilb,No,Yes,82900,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2021,874,260,0,454,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Kaonde [kqn],kqn,No,Yes,242000,100K - 499K,4,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2014,1189,260,0,0,Recent Scripture,No,,,No,No,No,Yes,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Lala-Bisa [leb],leb,No,Yes,353000,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2000,410,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Lamba [lam],lam,No,Yes,201000,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,1990,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Lenje [leh],leh,No,Yes,128000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2004,1189,260,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Lozi [loz],loz,No,Yes,734000,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2020,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Lunda [lun],lun,No,Yes,403000,100K - 499K,4,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2012,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Luvale [lue],lue,No,Yes,539000,500K - 9.99M,4,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,1970,1189,260,0,0,Limited or Old Scripture,No,,,No,No,No,Yes,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Luyana [lyn],lyn,No,Yes,2880,1000 - 4999,6a,Vigorous,No,"1 to 4,999",Goal Met in the language,25,No,25,,,New Testament,,260,0,0,254,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Mambwe-Lungu [mgr],mgr,No,Yes,213680,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2013,1189,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Zambia,ZM,Mashi [mho],mho,No,Yes,21430,10K - 99.9K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2024,369,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
